iter	RMSE
0	13.67510589
1	13.24309386
2	12.82347661
3	12.43245761
4	12.07215058
5	11.72133108
6	11.3622238
7	11.02376596
8	10.68180932
9	10.35849752
10	10.05203487
11	9.784380736
12	9.490349511
13	9.226089251
14	8.94888698
15	8.678051475
16	8.430245933
17	8.198622956
18	7.98733696
19	7.752268598
20	7.547496329
21	7.324603453
22	7.122113033
23	6.915009256
24	6.713682327
25	6.537787177
26	6.370611405
27	6.197463684
28	6.034080587
29	5.88100845
30	5.72528079
31	5.579128253
32	5.432484673
33	5.286927439
34	5.160039571
35	5.031738704
36	4.922994029
37	4.801261663
38	4.685939729
39	4.574733139
40	4.46230893
41	4.37226874
42	4.279785709
43	4.190730701
44	4.094304371
45	4.006825117
46	3.926283671
47	3.845609971
48	3.769990424
49	3.700640633
50	3.626388121
51	3.552087038
52	3.482868533
53	3.414237635
54	3.353279621
55	3.295396008
56	3.237334919
57	3.18036733
58	3.130270601
59	3.078793909
60	3.030903394
61	2.976713128
62	2.934381053
63	2.889457188
64	2.845186446
65	2.800435667
66	2.76417417
67	2.725063887
68	2.684582199
69	2.645750798
70	2.613249061
71	2.583389918
72	2.547089492
73	2.515572149
74	2.486675264
75	2.459718884
76	2.434667599
77	2.413622496
78	2.389710063
79	2.372047035
80	2.348871457
81	2.328748043
82	2.30579311
83	2.29174367
84	2.272445587
85	2.252880349
86	2.236353077
87	2.220079216
88	2.200954015
89	2.186280258
90	2.173319837
91	2.159096836
92	2.145544157
93	2.133935425
94	2.125146728
95	2.110557857
96	2.099551853
97	2.086575718
98	2.07570067
99	2.065981349
100	2.05698502
101	2.046546455
102	2.03660961
103	2.026766892
104	2.017792884
105	2.00829294
106	1.999054412
107	1.990550213
108	1.982719894
109	1.975901278
110	1.969114819
111	1.962221163
112	1.95586555
113	1.949971127
114	1.943525816
115	1.936778714
116	1.929426853
117	1.924032331
118	1.918427271
119	1.913058313
120	1.908168766
121	1.904078821
122	1.898113107
123	1.893967757
124	1.889174927
125	1.887024395
126	1.883180328
127	1.879536909
128	1.87351934
129	1.870337128
130	1.86902134
131	1.864759727
132	1.860459482
133	1.854591441
134	1.851749671
135	1.84775052
136	1.844545204
137	1.840690686
138	1.838485823
139	1.833597725
140	1.830580384
141	1.827497513
142	1.824350703
143	1.822227239
144	1.81938813
145	1.817325287
146	1.815056888
147	1.811707721
148	1.808171421
149	1.805612002
150	1.803070141
151	1.80107836
152	1.795408782
153	1.792780348
