iter	Passed	Remaining
0	0	921
1	1	865
2	2	908
3	3	851
4	4	940
5	5	965
6	6	934
7	7	906
8	8	895
9	8	882
10	9	868
11	10	854
12	11	838
13	11	828
14	12	815
15	13	807
16	13	804
17	14	798
18	15	794
19	16	788
20	16	791
21	17	798
22	19	815
23	20	823
24	21	849
25	22	843
26	23	836
27	24	834
28	24	831
29	25	825
30	26	820
31	27	818
32	27	815
33	28	811
34	29	806
35	30	803
36	30	800
37	31	796
38	32	796
39	33	800
40	35	827
41	36	823
42	36	819
43	37	815
44	38	812
45	39	809
46	39	808
47	40	804
48	41	804
49	42	801
50	42	798
51	43	796
52	44	792
53	45	789
54	45	787
55	46	784
56	47	783
57	48	783
58	49	790
59	50	795
60	51	794
61	52	791
62	53	789
63	53	788
64	54	786
65	55	783
66	56	780
67	56	777
68	57	775
69	58	772
70	58	770
71	59	767
72	60	766
73	61	763
74	61	762
75	62	760
76	63	765
77	64	767
78	65	764
79	65	757
80	67	762
81	67	760
82	68	757
83	69	756
84	69	752
85	70	748
86	71	745
87	71	742
88	72	738
89	72	734
90	73	730
91	73	727
92	74	724
93	74	721
94	75	716
95	75	713
96	76	710
97	77	709
98	78	710
99	78	710
100	80	715
101	81	713
102	81	711
103	82	708
104	82	705
105	83	703
106	84	701
107	84	699
108	85	697
109	85	694
110	86	692
111	87	691
112	87	689
113	88	687
114	88	684
115	89	682
116	90	679
117	90	677
118	91	674
119	91	671
120	92	670
121	93	673
122	94	675
123	95	674
124	96	672
125	96	668
126	96	665
127	97	663
128	98	662
129	98	661
130	99	660
131	100	659
132	100	657
133	101	655
134	101	653
135	102	651
136	103	648
137	103	646
138	104	644
139	104	642
140	105	640
141	105	639
142	106	638
143	107	637
144	108	639
145	109	642
146	110	642
147	111	641
148	112	639
149	112	638
150	113	637
151	114	636
152	114	635
153	115	633
154	115	632
155	116	630
156	117	628
157	117	627
158	118	625
159	119	627
160	120	626
161	120	624
162	121	623
163	121	621
164	122	620
165	123	620
166	124	621
167	125	621
168	126	620
169	126	619
170	127	618
171	128	617
172	128	616
173	129	615
174	130	613
175	130	612
176	131	610
177	131	609
178	132	607
179	133	605
180	133	604
181	134	603
182	134	601
183	135	600
184	135	598
185	136	596
186	136	595
187	137	594
188	138	593
189	139	594
190	140	595
191	141	594
192	141	592
193	142	591
194	142	590
195	143	588
196	144	588
197	144	586
198	145	585
199	145	583
200	146	582
201	147	580
202	147	579
203	148	578
204	148	577
205	149	575
206	149	574
207	150	573
208	151	571
209	151	570
210	152	569
211	152	568
212	153	567
213	154	567
214	155	566
215	156	566
216	156	565
217	157	563
218	157	562
219	158	561
220	158	560
221	159	559
222	160	557
223	160	556
224	161	555
225	161	554
226	162	552
227	162	551
228	163	550
229	163	548
230	164	547
231	165	546
232	165	545
233	166	543
234	166	542
235	167	541
236	167	540
237	168	539
238	169	539
239	170	538
240	170	538
241	171	537
242	172	535
243	172	534
244	173	533
245	173	533
246	174	532
247	175	530
248	175	529
249	176	528
250	176	527
